Coin Name,Market Cap,Price,Volume(24h),Circulating Supply,Change(24h)
SingularityNET,"$15,418,827",$0.018878,"$847,146","816,757,505 AGI *",-0.94%
Obyte,"$15,380,568",$20.48,"$6,373","751,081 GBYTE *",1.81%
GHOST,"$15,276,083",$1.13,"$478,448","13,573,415 GHOST *",-1.08%
Tierion,"$15,191,344",$0.035454,"$855,796","428,481,269 TNT *",1.98%
CWV Chain,"$15,115,223",$0.004269,"$10,034","3,540,912,311 CWV *",-0.67%
Cindicator,"$14,960,887",$0.007480,"$1,188,525","2,000,000,005 CND *",9.22%
Elitium,"$14,809,078",$0.891040,"$122,467","16,619,994 EUM *",0.03%
Bit-Z Token,"$14,593,187",$0.113803,"$16,737,125","128,232,002 BZ *",-0.09%
Groestlcoin,"$14,513,996",$0.192399,"$759,614","75,437,049 GRS",0.40%
BORA,"$14,375,918",$0.020025,"$304,203","717,907,000 BORA *",-0.59%
Loki,"$14,319,957",$0.293214,"$38,570","48,837,916 LOKI",-0.70%
Factom,"$14,297,508",$1.55,"$252,997","9,242,690 FCT *",-2.86%
LTO Network,"$14,023,810",$0.063253,"$3,811,233","221,709,073 LTO *",-3.32%
Newton,"$13,746,227",$0.000668,"$453,262","20,571,994,592 NEW",-0.13%
Game.com,"$13,737,452",$0.018041,"$1,638,231","761,444,190 GTC *",7.40%
OriginTrail,"$13,698,323",$0.050025,"$111,609","273,831,936 TRAC *",-3.96%
BHPCoin,"$13,598,707",$0.673951,"$4,904,271","20,177,578 BHP *",-2.91%
Nexus,"$13,309,400",$0.205799,"$187,980","64,671,957 NXS",1.50%
V-ID,"$13,216,716",$0.285717,"$2,186,658","46,258,012 VIDT *",5.18%
Neutrino Dollar,"$13,126,838",$0.994610,"$845,025","13,197,968 USDN *",-0.40%
Constellation,"$13,049,314",$0.010300,"$404,080","1,266,911,931 DAG *",2.41%
Travala.com,"$12,933,871",$0.330584,"$907,383","39,124,345 AVA *",-9.45%
VideoCoin,"$12,929,680",$0.112783,"$542,424","114,641,633 VID *",-2.31%
Voyager Token,"$12,788,635",$0.057530,"$1,450,463","222,295,208 VGX *",8.13%
Unobtanium,"$12,744,055",$62.96,$152,"202,403 UNO",0.72%
ZBG Token,"$12,708,267",$0.045476,"$2,456,686","279,448,925 ZT *",-0.22%
FLETA,"$12,579,515",$0.012654,"$11,323,071","994,077,239 FLETA *",4.59%
BIKI,"$12,567,831",$0.039911,"$515,466","314,898,069 BIKI *",-0.42%
Lambda,"$12,561,909",$0.018914,"$12,961,729","664,163,378 LAMB *",5.28%
GoChain,"$12,476,478",$0.012665,"$1,406,191","985,113,865 GO *",11.87%
Atomic Wallet Coin,"$12,417,583",$1.17,"$252,567","10,603,659 AWC *",19.59%
Apollo Currency,"$12,406,074",$0.000845,"$732,868","14,685,096,531 APL *",-4.13%
TrustVerse,"$12,355,847",$0.030903,"$356,483","399,830,019 TRV *",-4.10%
Invictus Hyperion Fund,"$12,281,780",$0.103321,"$8,661","118,870,248 IHF *",-8.42%
SaluS,"$12,193,802",$12.05,"$3,637","1,012,265 SLS *",-7.08%
HyperDAO,"$12,122,524",$0.035566,"$7,755,951","340,848,428 HDAO *",1.71%
QASH,"$12,073,258",$0.034495,"$120,784","350,000,000 QASH *",-0.77%
Kin,"$11,978,140",$0.000008,"$135,131","1,518,114,145,968 KIN *",10.43%
AMO Coin,"$11,966,902",$0.000666,"$875,645","17,958,085,016 AMO *",-2.07%
General Attention Currency,"$11,957,089",$1.20,$5,"10,000,000 XAC *",-0.42%
Proton,"$11,943,787",$0.018991,"$6,696,743","628,901,782 XPR *",14.80%
Dragon Coins,"$11,747,177",$0.033693,"$12,048","348,657,484 DRG *",4.88%
CONUN,"$11,651,386",$0.004095,"$312,105","2,845,397,240 CON *",1.63%
Standard Tokenization Protocol,"$11,637,046",$0.016515,"$4,840,346","704,634,235 STPT *",6.75%
Raiden Network Token,"$11,536,359",$0.226601,"$2,512,287","50,910,504 RDN *",3.77%
Carry,"$11,417,514",$0.002108,"$2,636,480","5,416,905,073 CRE *",8.10%
NKN,"$11,412,348",$0.024455,"$2,755,568","466,666,666 NKN",9.96%
BitForex Token,"$11,391,534",$0.002678,"$2,222,463","4,254,096,636 BF *",-0.92%
Chromia,"$11,359,449",$0.032534,"$3,834,933","349,154,478 CHR *",2.64%
LBRY Credits,"$11,293,610",$0.025969,"$903,728","434,891,711 LBC",-5.89%
Envion,"$11,199,482",$0.087890,$192,"127,425,494 EVN *",-3.93%
Zenon,"$11,150,905",$2.65,"$332,042","4,212,013 ZNN",1.43%
Contentos,"$11,144,218",$0.008839,"$4,460,856","1,260,791,548 COS *",8.69%
Cred,"$11,114,705",$0.013252,"$2,921,001","838,749,675 LBA *",5.05%
Monolith,"$11,104,238",$0.339637,"$14,974","32,694,387 TKN *",1.33%
XMax,"$11,100,059",$0.000688,"$567,475","16,140,069,300 XMX *",-3.24%
Bread,"$11,056,597",$0.124604,"$788,316","88,733,978 BRD *",2.66%
Orchid,"$11,040,002",$0.167763,"$2,127,599","65,807,277 OXT *",-1.95%
Einsteinium,"$11,034,619",$0.050136,"$121,738","220,095,194 EMC2",-0.90%
Nxt,"$10,980,260",$0.010991,"$515,044","998,999,942 NXT *",-0.24%
TOP,"$10,961,892",$0.002141,"$181,655","5,119,429,434 TOP *",-1.91%
Ultra,"$10,939,369",$0.039919,"$144,586","274,039,531 UOS *",-1.23%
PeepCoin,"$10,910,041",$0.000091,$?,"119,250,114,337 PCN *",0.00%
Bitcoin 2,"$10,876,182",$0.626637,"$4,955","17,356,434 BTC2 *",-10.23%
The Force Protocol,"$10,846,583",$0.034822,"$376,848","311,488,081 FOR *",5.23%
TTC,"$10,737,892",$0.024810,"$407,059","432,805,688 TTC *",0.57%
B2BX,"$10,677,303",$0.543934,$254,"19,629,794 B2B *",40.76%
Wixlar,"$10,599,653",$0.004432,"$6,782","2,391,707,647 WIX *",24.46%
Rakon,"$10,551,510",$0.079849,"$869,260","132,142,857 RKN *",-0.71%
MicroBitcoin,"$10,475,434",$0.000055,"$4,098","188,777,000,000 MBC",-4.03%
Dero,"$10,447,498",$1.06,"$537,139","9,849,445 DERO",1.02%
Content Value Network,"$10,441,128",$0.011288,"$6,295,752","925,000,000 CVNT *",-2.14%
Spectre.ai Dividend Token,"$10,437,645",$0.127174,$?,"82,073,519 SXDT *",0.00%
FIBOS,"$10,430,290",$0.009797,"$792,088","1,064,692,795 FO",-0.58%
MediBloc,"$10,375,674",$0.004146,"$255,633","2,502,318,187 MED *",2.73%
Sport and Leisure,"$10,368,285",$0.015368,"$758,957","674,670,125 SNL *",-0.45%
Emirex Token,"$10,332,600",$0.416864,"$32,037","24,786,512 EMRX *",-0.95%
ChainX,"$10,326,443",$1.77,"$316,418","5,821,700 PCX *",-5.34%
Gemini Dollar,"$10,313,779",$0.997329,"$8,903,924","10,341,397 GUSD *",-0.34%
1SG,"$10,217,326",$4.59,$?,"2,224,728 1SG *",0.00%
Anchor,"$10,150,954",$0.792393,"$29,586","12,810,498 ANCT *",0.43%
Tellor,"$10,022,298",$7.50,"$758,541","1,336,715 TRB",-9.94%
Cryptoindex.com 100,"$9,996,695",$0.160179,"$1,324","62,409,480 CIX100 *",-3.73%
JUST,"$9,962,633",$0.006948,"$2,594,860","1,433,850,000 JST *",-2.73%
CyberMiles,"$9,947,255",$0.012434,"$1,809,200","800,000,000 CMT *",2.28%
Arcblock,"$9,924,012",$0.100696,"$6,199,425","98,554,305 ABT *",-4.16%
Acute Angle Cloud,"$9,738,265",$0.038953,"$6,297,436","250,000,000 AAC *",-3.19%
Blocknet,"$9,679,328",$1.39,"$32,470","6,948,056 BLOCK *",8.24%
AirSwap,"$9,666,419",$0.064443,"$2,366,287","150,000,000 AST *",-3.70%
LATOKEN,"$9,651,650",$0.025392,"$10,665","380,104,462 LA *",4.96%
Neblio,"$9,595,164",$0.600660,"$632,579","15,974,379 NEBL *",1.44%
Bezant,"$9,569,838",$0.011577,"$848,437","826,604,628 BZNT *",2.14%
IoT Chain,"$9,564,775",$0.109669,"$6,277,822","87,214,658 ITC *",6.61%
BASIC,"$9,497,566",$0.008976,"$48,486,288","1,058,146,726 BASIC *",0.97%
Metadium,"$9,474,747",$0.007608,"$942,699","1,245,430,304 META *",5.64%
Burst,"$9,469,908",$0.004514,"$69,012","2,097,985,928 BURST",-2.78%
Tael,"$9,449,967",$0.111570,"$1,406,203","84,699,999 WABI *",1.55%
Skycoin,"$9,399,630",$0.522202,"$546,919","18,000,000 SKY *",2.94%
Prometeus,"$9,352,661",$1.36,"$863,442","6,870,000 PROM *",-0.72%
FirstBlood,"$9,318,793",$0.108917,$783,"85,558,371 1ST *",8.93%
Time New Bank,"$9,310,389",$0.002709,"$1,574,888","3,436,586,618 TNB *",1.71%
TROY,"$9,269,097",$0.003878,"$2,949,640","2,390,000,000 TROY *",6.34%
Valor Token,"$9,264,425",$0.462389,"$269,211","20,036,000 VALOR *",3.17%
Dusk Network,"$9,208,897",$0.035401,"$707,826","260,130,406 DUSK *",8.65%
Mainframe,"$9,184,517",$0.000982,"$879,252","9,348,742,566 MFT *",5.03%
ODEM,"$9,170,329",$0.041853,"$251,589","219,110,098 ODE *",-2.55%
Telcoin,"$9,070,998",$0.000192,"$74,803","47,245,810,799 TEL *",-7.15%
HYCON,"$9,052,442",$0.004010,"$2,362,993","2,257,644,803 HYC",0.94%
REPO,"$9,046,976",$0.082276,$?,"109,958,607 REPO *",-5.34%
Moeda Loyalty Points,"$9,046,897",$0.460897,"$282,202","19,628,888 MDA *",4.86%
Santiment Network Token,"$8,968,314",$0.142225,"$1,042","63,057,371 SAN *",0.03%
NavCoin,"$8,900,499",$0.128871,"$165,766","69,064,999 NAV *",0.95%
Dimension Chain,"$8,812,159",$0.036000,"$85,678","244,783,561 EON *",-6.77%
AdEx,"$8,786,650",$0.101249,"$234,504","86,782,826 ADX *",0.76%
Bibox Token,"$8,716,643",$0.092731,"$1,338,257","93,999,397 BIX *",-0.79%
Cocos-BCX,"$8,690,469",$0.000359,"$930,889","24,210,008,178 COCOS *",3.25%
Propy,"$8,637,371",$0.123214,"$127,902","70,100,406 PRO *",12.64%
Veritaseum,"$8,559,829",$3.98,"$2,349","2,149,646 VERI *",-1.21%
DREP,"$8,459,331",$0.002870,"$1,064,145","2,947,682,632 DREP *",-0.27%
Metaverse ETP,"$8,424,794",$0.107278,"$253,414","78,532,398 ETP",-1.10%
DigixDAO,"$8,422,002",$46.36,"$502,311","181,676 DGD *",-0.36%
SynchroBitcoin,"$8,309,563",$0.111952,"$51,088","74,224,151 SNB *",-1.32%
DMarket,"$8,293,605",$0.145702,"$129,126","56,921,773 DMT *",-0.31%
Bluzelle,"$8,250,153",$0.035578,"$862,055","231,889,420 BLZ *",9.58%
VIDY,"$8,171,688",$0.001313,"$2,272,482","6,222,083,206 VIDY *",9.74%
Akropolis ,"$8,170,045",$0.006213,"$3,617,464","1,315,001,020 AKRO *",1.69%
DEAPcoin,"$8,154,086",$0.009237,"$1,823,800","882,771,017 DEP *",-1.05%
Ethereum Meta,"$8,032,045",$0.000161,"$2,176","50,010,379,198 ETHM *",-1.98%
Quantum Resistant Ledger,"$7,981,347",$0.111510,"$217,147","71,575,017 QRL",-0.47%
Switcheo,"$7,946,818",$0.015204,"$107,008","522,694,673 SWTH *",7.14%
Sentinel Protocol,"$7,863,523",$0.019574,"$717,933","401,731,425 UPP *",-0.53%
TenX,"$7,830,575",$0.053524,"$3,530,087","146,299,141 PAY *",13.06%
Capricoin+,"$7,816,322",$0.036933,$520,"211,634,659 CPS *",2.31%
#MetaHash,"$7,801,195",$0.003996,"$3,597,856","1,952,336,588 MHC *",1.02%
Morpheus.Network,"$7,751,594",$0.228983,"$529,036","33,852,310 MRPH *",-2.07%
Diamond Platform Token,"$7,726,216",$4.49,"$3,083","1,722,566 DPT *",-7.34%
VNX Exchange,"$7,712,302",$0.274413,"$84,028","28,104,700 VNXLU *",-1.46%
MixMarvel,"$7,706,050",$0.003880,"$1,289,235","1,986,068,094 MIX *",-0.50%
Electra,"$7,651,451",$0.000267,"$2,365","28,688,726,509 ECA",1.73%
LiquidApps,"$7,545,934",$0.011012,"$37,449","685,233,346 DAPP *",-17.41%
Effect.AI,"$7,542,864",$0.029912,"$1,013","252,168,527 EFX *",5.86%
Po.et,"$7,541,845",$0.002401,"$837,735","3,141,592,653 POE *",-1.93%
Gifto,"$7,474,299",$0.010956,"$15,045,670","682,212,222 GTO *",-2.70%
Perlin,"$7,403,176",$0.020996,"$1,536,759","352,597,396 PERL *",4.87%
Polis,"$7,333,223",$0.745861,"$4,671","9,831,891 POLIS",-2.30%
Dune Network,"$7,289,560",$0.016757,"$13,210","435,009,227 DUN *",17.58%
Aergo,"$7,211,246",$0.027313,"$946,753","264,019,890 AERGO *",1.40%
CoinEx Token,"$7,194,289",$0.010870,"$1,812,505","661,826,194 CET *",-0.01%
Cartesi,"$7,191,213",$0.048479,"$8,455,172","148,335,764 CTSI *",13.28%
VITE,"$7,181,095",$0.015346,"$1,846,841","467,933,534 VITE *",2.59%
ChronoCoin,"$7,127,320",$0.003209,"$9,864","2,221,053,119 CRN *",-0.15%
OST,"$7,116,061",$0.009482,"$684,500","750,466,070 OST *",1.55%
EDC Blockchain [old],"$7,038,548",$0.002636,$68,"2,670,646,025 EDC",-8.40%
Dock,"$7,021,995",$0.011598,"$31,636,430","605,450,524 DOCK *",23.64%
ShareToken,"$7,019,134",$0.005529,"$2,739,809","1,269,539,110 SHR *",-8.19%
Peercoin,"$6,967,856",$0.264304,"$23,199","26,363,068 PPC",2.90%
DDKoin,"$6,960,261",$4.07,"$96,484","1,710,000 DDK",7.06%
Aladdin,"$6,953,418",$0.000160,"$2,989","43,462,507,497 ADN *",10.89%
Origo,"$6,877,529",$0.015612,"$7,804,818","440,516,809 OGO *",12.47%
LINA,"$6,854,069",$0.023315,"$295,797","293,974,967 LINA *",1.50%
Darico Ecosystem Coin,"$6,842,561",$0.108601,$417,"63,006,342 DEC *",12.68%
Digix Gold Token,"$6,831,824",$58.38,"$12,794","117,026 DGX *",0.37%
Moss Coin,"$6,817,849",$0.018567,"$222,858","367,194,689 MOC *",0.10%
Nestree,"$6,779,174",$0.007540,"$1,167,393","899,128,767 EGG *",-0.20%
YOU COIN,"$6,740,114",$0.012120,"$1,765,034","556,120,198 YOU *",5.38%
PlayChip,"$6,738,973",$0.000481,$583,"14,009,105,693 PLA *",-6.16%
suterusu,"$6,729,988",$0.006305,"$1,388,043","1,067,327,455 SUTER *",7.22%
S4FE,"$6,691,845",$0.007474,"$303,732","895,310,762 S4F *",-17.21%
Safe,"$6,675,581",$0.320395,"$69,214","20,835,499 SAFE *",-13.70%
Achain,"$6,672,014",$0.006878,"$5,919,464","969,999,998 ACT *",2.27%
SingularDTV,"$6,631,459",$0.011052,"$876,880","600,000,000 SNGLS *",6.60%
Quark,"$6,610,907",$0.024923,"$1,216","265,253,757 QRK",0.90%
Endor Protocol,"$6,592,973",$0.004645,"$417,353","1,419,220,029 EDR *",1.54%
ShipChain,"$6,492,046",$0.013565,"$300,948","478,598,260 SHIP *",4.78%
Levolution,"$6,468,280",$0.152506,"$100,232","42,413,374 LEVL *",-1.22%
IQeon,"$6,463,921",$1.18,"$51,518","5,491,860 IQN *",0.44%
Kcash,"$6,451,497",$0.014482,"$23,581,205","445,499,083 KCASH *",2.63%
Grid+,"$6,405,499",$0.163254,"$34,694","39,236,491 GRID *",129.15%
Eminer,"$6,390,844",$0.004917,"$7,183,870","1,299,812,290 EM *",5.41%
Safex Token,"$6,389,863",$0.003388,"$2,306","1,885,974,016 SFT *",6.76%
Aeon,"$6,386,382",$0.403398,"$8,117","15,831,459 AEON",-2.13%
Credits,"$6,362,309",$0.034209,"$107,711","185,986,079 CS *",-2.11%
GAPS,"$6,320,193",$0.632019,"$616,032","10,000,000 GAP *",-0.04%
ALQO,"$6,299,018",$0.097411,"$12,429","64,664,324 XLQ *",1.79%
EveryCoin ,"$6,252,284",$0.000667,"$452,332","9,380,000,000 EVY *",-1.31%
PressOne,"$6,237,812",$0.021907,"$81,393","284,742,628 PRS *",6.33%
Mithril,"$6,186,078",$0.006902,"$9,525,065","896,265,000 MITH *",7.77%
UGAS,"$6,185,236",$0.036019,"$899,526","171,719,420 UGAS *",11.66%
Particl,"$6,173,433",$0.675336,"$11,467","9,141,276 PART *",0.43%
IONChain,"$6,116,473",$0.050474,"$736,311","121,180,605 IONC *",-2.10%
United Traders Token,"$6,078,883",$0.162065,"$1,422","37,508,999 UTT *",-5.37%
ROOBEE,"$6,077,463",$0.003683,"$621,796","1,650,216,698 ROOBEE *",-0.17%
T.OS,"$6,018,031",$0.007111,"$36,408","846,279,878 TOSC *",-3.24%
Waves Enterprise,"$6,008,610",$0.175448,"$94,833","34,247,175 WEST *",8.10%
Universa,"$6,003,678",$0.003247,"$3,676","1,848,760,649 UTNP *",-0.93%
QuickX Protocol,"$5,996,617",$0.012033,"$227,790","498,334,428 QCX *",-4.93%
King DAG,"$5,989,923",$0.124786,"$1,970,528","48,001,470 KDAG *",-0.27%
FirmaChain,"$5,986,770",$0.032655,"$1,279,892","183,333,325 FCT *",0.50%
Atlas Protocol,"$5,966,823",$0.002316,"$1,203,964","2,576,066,703 ATP *",10.64%
OTOCASH,"$5,907,055",$0.277120,$326,"21,315,864 OTO",19.85%
EDUCare,"$5,897,825",$0.008143,"$667,099","724,297,908 EKT *",6.55%
Telos,"$5,876,460",$0.022185,"$59,084","264,884,094 TLOS *",-3.70%
DAOstack,"$5,854,648",$0.121888,"$1,843","48,033,039 GEN *",-2.28%
Steem Dollars,"$5,854,327",$1.02,"$31,724","5,765,697 SBD *",-1.89%
FNB Protocol,"$5,852,774",$0.002474,"$323,080","2,365,755,913 FNB *",-2.41%
Namecoin,"$5,838,430",$0.396191,"$1,696","14,736,400 NMC",1.01%
GameCredits,"$5,811,293",$0.083213,"$27,376","69,836,100 GAME",0.88%
MOAC,"$5,760,283",$0.092219,"$40,227","62,463,334 MOAC *",-1.09%
All Sports,"$5,736,149",$0.003824,"$409,496","1,499,865,882 SOC *",4.68%
GreenPower,"$5,735,145",$0.001775,"$3,871","3,231,699,360 GRN *",4.67%
BnkToTheFuture,"$5,662,272",$0.007757,"$487,315","729,989,999 BFT *",0.76%
Ruff,"$5,635,154",$0.005747,"$821,843","980,500,000 RUFF *",-3.68%
Pillar,"$5,634,179",$0.021724,"$23,273","259,348,201 PLR *",13.21%
LCX,"$5,632,322",$0.010580,"$402,078","532,338,866 LCX *",-5.35%
U Network,"$5,574,845",$0.000797,"$852,435","6,994,600,000 UUU *",1.38%
CoinMetro Token,"$5,559,437",$0.026505,"$2,933","209,751,999 XCM *",0.08%
USDQ,"$5,544,869",$1.00,$?,"5,524,293 USDQ *",0.24%
Asch,"$5,458,243",$0.058467,"$306,655","93,355,331 XAS *",-4.07%
Wings,"$5,408,726",$0.055611,"$196,274","97,259,638 WINGS *",0.62%
HitChain,"$5,404,687",$0.000088,"$41,576","61,440,000,000 HIT *",0.93%
XTRABYTES,"$5,396,782",$0.012551,"$1,007","430,000,000 XBY *",0.77%
Everex,"$5,352,175",$0.235779,"$1,841,679","22,700,000 EVX *",3.25%
SmartMesh,"$5,336,549",$0.003981,"$356,462","1,340,519,343 SMT *",-1.02%
UnlimitedIP,"$5,335,656",$0.004180,"$252,486","1,276,568,735 UIP *",3.09%
SIRIN LABS Token,"$5,331,454",$0.010840,"$109,859","491,820,906 SRN *",1.01%
Peculium,"$5,331,123",$0.002614,"$321,939","2,039,325,377 PCL *",1.15%
XYO,"$5,329,597",$0.000415,"$47,158","12,844,821,266 XYO *",-5.90%
Ferrum Network,"$5,319,846",$0.038881,"$607,477","136,824,721 FRM *",-8.58%
Zano,"$5,280,055",$0.517789,"$51,199","10,197,309 ZANO *",-0.09%
Metronome,"$5,271,113",$0.493891,"$149,509","10,672,617 MET *",2.44%
WePower,"$5,233,514",$0.008596,"$1,406,298","608,821,473 WPR *",5.97%
NPCoin,"$5,191,582",$0.071650,"$18,654","72,457,335 NPC *",-7.22%
Wagerr,"$5,187,336",$0.027270,$915,"190,221,169 WGR *",2.02%
Castweet,"$5,182,326",$2.99,"$574,903","1,735,929 CTT *",1.49%
Monero Classic,"$5,140,196",$0.269252,$326,"19,090,650 XMC *",-12.68%
OceanEx Token,"$5,137,099",$0.002445,"$187,981","2,101,467,024 OCE *",-7.18%
Tokenomy,"$5,127,719",$0.025639,"$9,612","200,000,000 TEN *",-0.35%
Clipper Coin,"$5,122,357",$0.001729,$?,"2,963,270,216 CCC *",0.00%
Revain,"$5,112,135",$0.010666,"$1,253,790","479,271,051 REV *",-0.13%
Neumark,"$5,072,576",$0.132889,$952,"38,171,574 NEU *",-2.52%
Lightning Bitcoin,"$5,065,432",$1.31,"$711,814","3,860,808 LBTC",-2.56%
Genesis Vision,"$5,051,140",$1.14,"$232,971","4,426,883 GVT *",-0.32%
HorusPay,"$5,021,656",$0.005753,$143,"872,861,114 HORUS *",-0.51%
Ubiq,"$5,012,189",$0.117632,"$24,732","42,609,099 UBQ",10.64%
CryptoFranc,"$5,010,414",$1.06,"$3,492","4,726,000 XCHF *",0.75%
Compound Coin,"$4,982,886",$0.000093,$?,"53,731,717,830 COMP",0.25%
StakeCubeCoin,"$4,981,456",$0.726062,"$2,948","6,860,924 SCC",0.03%
Pirate Chain,"$4,968,679",$0.030767,"$104,916","161,493,377 ARRR",2.04%
Leverj,"$4,944,569",$0.041871,$199,"118,090,511 LEV *",-15.10%
Egretia,"$4,939,575",$0.001171,"$730,195","4,218,701,582 EGT *",-2.55%
0Chain,"$4,859,768",$0.121139,"$44,054","40,117,166 ZCN *",4.42%
SALT,"$4,847,711",$0.060382,"$5,370","80,283,620 SALT *",-1.60%
FOAM,"$4,838,824",$0.016082,"$7,762","300,880,596 FOAM *",-5.43%
Robotina,"$4,792,044",$0.015776,"$1,219","303,758,412 ROX *",-11.55%
Blox,"$4,758,652",$0.007054,"$619,724","674,579,184 CDT *",8.96%
qiibee,"$4,756,340",$0.006494,"$3,233","732,445,146 QBX *",-0.11%
Earneo,"$4,736,106",$0.010063,"$191,539","470,639,448 SNPC *",25.13%
NOIA Network,"$4,734,736",$0.017304,"$128,982","273,628,122 NOIA *",9.34%
BackPacker Coin,"$4,715,618",$1.02,"$2,430","4,642,910 BPC *",1.82%
Bitcoin Rhodium,"$4,691,379",$4.81,"$16,695","976,345 XRC",-4.94%
INT Chain,"$4,686,496",$0.010425,"$814,837","449,560,377 INT *",-1.55%
Metrix Coin,"$4,679,989",$0.000267,$961,"17,521,976,984 MRX",4.29%
QLC Chain,"$4,676,214",$0.019484,"$3,552,276","240,000,000 QLC *",1.80%
Viacoin,"$4,659,261",$0.201095,"$186,127","23,169,406 VIA",1.88%
YOYOW,"$4,629,397",$0.009642,"$396,971","480,137,234 YOYOW *",1.99%
ECC,"$4,616,637",$0.000185,$0.067797,"25,000,000,000 ECC *",99.64%
LinkEye,"$4,616,115",$0.005699,"$8,839,684","809,999,000 LET *",-6.26%
Measurable Data Token,"$4,581,733",$0.012249,"$17,422,314","374,039,661 MDT *",28.57%
Sense,"$4,553,191",$0.008949,"$13,337","508,816,362 SENSE *",6.49%
Aeron,"$4,549,794",$0.227626,"$1,801,216","19,988,000 ARN *",1.81%
AppCoins,"$4,549,746",$0.042290,"$226,119","107,583,261 APPC *",4.89%
DAPS Coin,"$4,496,858",$0.000086,"$387,811","52,586,828,002 DAPS *",-1.37%
Ternio,"$4,491,623",$0.007840,"$131,401","572,914,692 TERN *",3.46%
district0x,"$4,484,527",$0.007474,"$1,769,587","600,000,000 DNT *",12.68%
SymVerse,"$4,472,843",$0.066790,"$2,973","66,969,061 SYM *",-7.17%
Hydro Protocol,"$4,469,712",$0.006367,"$39,398","702,000,000 HOT *",5.21%
TaaS,"$4,466,121",$0.548259,"$2,291","8,146,001 TAAS *",11.04%
BABB,"$4,465,034",$0.000123,"$234,607","36,276,211,815 BAX *",4.12%
Safe Haven,"$4,408,480",$0.001467,"$314,399","3,005,855,396 SHA *",24.30%
VNDC,"$4,385,511",$0.000043,"$440,195","101,920,252,781 VNDC *",-0.03%
High Performance Blockchain,"$4,346,160",$0.099637,"$112,266","43,619,949 HPB *",-3.00%
OAX,"$4,307,580",$0.057963,"$458,507","74,316,000 OAX *",3.89%
SwftCoin,"$4,306,788",$0.001075,"$7,730,164","4,004,999,999 SWFTC *",4.29%
CEEK VR,"$4,296,696",$0.007362,"$57,948","583,653,460 CEEK *",152.68%
KardiaChain,"$4,296,300",$0.003829,"$4,833,929","1,122,059,399 KAI *",18.58%
USDJ,"$4,293,235",$0.999460,"$90,523","4,295,553 USDJ *",-0.97%
TokenClub,"$4,284,238",$0.007845,"$1,770,762","546,136,332 TCT *",11.46%
Auctus,"$4,233,569",$0.133107,"$19,892","31,805,729 AUC *",-3.45%
doc.com Token,"$4,228,534",$0.005560,"$4,331","760,503,923 MTC *",0.96%
FLO,"$4,184,833",$0.027468,"$18,603","152,351,008 FLO",5.50%
Observer,"$4,140,344",$0.001803,"$1,015,456","2,295,893,236 OBSR",-2.90%
SmartCash,"$4,129,505",$0.002921,"$178,306","1,413,859,298 SMART",-0.98%
Jarvis Network,"$4,107,706",$0.141616,"$391,454","29,005,880 JRT *",2.48%
Gulden,"$4,099,955",$0.007941,"$12,831","516,327,097 NLG",-2.36%
bitCNY,"$4,091,583",$0.143197,"$29,976,307","28,573,200 BITCNY *",-0.38%
Digital Asset Guarantee Token,"$4,085,386",$0.123426,$?,"33,100,000 DAGT *",-0.34%
Cloudbric,"$4,071,448",$0.007272,"$53,147","559,873,080 CLB *",0.31%
DigitalBits,"$4,033,666",$0.011771,"$529,279","342,669,704 XDB *",-3.94%
GHOSTPRISM,"$4,033,398",$1.79,"$109,671","2,251,613 GHOST *",-1.19%
LockTrip,"$3,988,695",$0.266764,"$43,791","14,952,163 LOC *",4.48%
Sentivate,"$3,972,671",$0.001647,"$123,732","2,411,812,955 SNTVT *",-0.60%
Agrocoin,"$3,963,189",$0.032500,$3,"121,944,271 AGRO *",-26.34%
MESEFA,"$3,960,164",$9.20,"$58,809","430,655 SEFA *",6.95%
Nasdacoin,"$3,950,215",$0.176455,"$490,325","22,386,490 NSD",-0.50%
BLOCKv,"$3,946,906",$0.001320,"$759,896","2,989,942,418 VEE *",-14.52%
VIBE,"$3,939,132",$0.015143,"$714,066","260,136,427 VIBE *",3.46%
Jibrel Network,"$3,935,173",$0.023131,"$9,797","170,126,886 JNT *",-10.22%
Covesting,"$3,923,107",$0.217950,"$6,921","18,000,000 COV *",3.83%
DATA,"$3,920,383",$0.000341,"$320,312","11,499,993,344 DTA *",8.09%
POA,"$3,915,298",$0.014126,"$224,169","277,169,717 POA *",4.98%
Everus,"$3,903,014",$0.008402,$0.968184,"464,518,523 EVR *",-0.23%
KARMA,"$3,896,470",$0.000715,$163,"5,450,532,381 KARMA *",-1.27%
MediShares,"$3,873,053",$0.003390,"$116,167","1,142,499,624 MDS *",2.19%
Zel,"$3,867,047",$0.035649,"$869,899","108,476,000 ZEL",-8.33%
Lykke,"$3,849,878",$0.012152,$?,"316,809,739 LKK *",2.49%
LINKA,"$3,849,420",$0.005546,"$16,926","694,150,020 LINKA *",15.19%
Polybius,"$3,834,492",$0.965973,"$7,158","3,969,565 PLBT *",2.46%
ProximaX,"$3,806,665",$0.000624,"$107,321","6,097,456,550 XPX *",1.44%
Vid,"$3,801,493",$0.137773,"$373,592","27,592,381 VI *",11.58%
Ergo,"$3,794,754",$0.223964,"$115,444","16,943,578 ERG",-6.74%
SunContract,"$3,760,644",$0.030647,"$578,865","122,707,503 SNC *",1.10%
